"index"	"authorship"	"citation"	"title"	"year"	"journal"	"DOI"	"https"	"whether_included"	"criteria1"	"criteria2"	"criteria3"	"theme"	"subtheme"	"scenarios"	"model_type"	"model_name"	"time_horizon"	"database"	"preagg_region"	"postagg_region"	"included_regions"	"preagg_comm"	"postagg_comm"	"whether_coupled"	"coupled_model_type"	"coupled_model_name"	"coupled_sect"	"type_coupling"	"method_coupling"	"software"	"solver"	"whether_sensitivity"
309	"Octaviano C., Paltsev S., Gurgel A.C."	"(Octaviano et al., 2016)"	"Climate change policy in Brazil and Mexico: Results from the MIT EPPA model"	2016	"Energy Economics"	"10.1016/j.eneco.2015.04.007"	"https://doi.org/10.1016/j.eneco.2015.04.007"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,emissions/CO2 related"	"RDG"	"EPPA5"	"2050"	"GTAP7, IEA, IMF, UNDP"	113	16	"Africa,ANZ,Brazil,Canada,China,Europe,Higher income East Asia,India,Japan,LAM/LAC/SAM,Mexico,Middle East,Rest of East Asia,Rest of Eurasia,Russia/FSU,United States"	57	21	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"No"
310	"Olekseyuk Z."	"(Olekseyuk 2016)"	"Modeling of FDI in business services: Additional effects in case of Ukraine's European integration"	2016	"Journal of International Trade and Economic Development"	"10.1080/09638199.2016.1170193"	"https://doi.org/10.1080/09638199.2016.1170193"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FDI,import related,non-tariff barrier,other trade related"	"SG"	""	"2007"	"GTAP8.1"	134	4	"Europe,Rest of World,Russia/FSU,Ukraine"	57	25	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
311	"Olekseyuk Z., Schürenberg-Frosch H."	"(Olekseyuk and Schürenberg-Frosch, 2016)"	"Are Armington elasticities different across countries and sectors? A European study"	2016	"Economic Modelling"	"10.1016/j.econmod.2016.02.018"	"https://doi.org/10.1016/j.econmod.2016.02.018"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related"	"SG"	"GTAP"	"2007"	"GTAP8.1"	134	2	"Czech Republic,Rest of World"	57	7	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
312	"Peterson S., Weitzel M."	"(Peterson and Weitzel, 2016)"	"Reaching a climate agreement: compensating for energy market effects of climate policy"	2016	"Climate Policy"	"10.1080/14693062.2015.1064346"	"https://doi.org/10.1080/14693062.2015.1064346"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"convergence but differentiated,emissions/CO2 related,equal loss"	"RDG"	"DART"	"2050"	"GTAP7"	113	13	"ANZ,Canada,China,Eastern Europe,India,Japan,LAM/LAC/SAM,MENA,PAS,Russia/FSU,sub-Saharan Africa,United States,Western Europe"	57	18	"No"	""	""	""	""	""	"unspecified"	""	"No"
313	"Ponjan P., Thirawat N."	"(Ponjan and Thirawat, 2016)"	"Impacts of Thailand's tourism tax cut: A CGE analysis"	2016	"Annals of Tourism Research"	"10.1016/j.annals.2016.07.015"	"https://doi.org/10.1016/j.annals.2016.07.015"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"tax related"	"SG"	"TRAVELTHAI"	"2000"	"2000 Tourism Satellite Accounts (TSA) of Thailand published by the Tourism Authority of Thailand (TAT)"	NA	2	"Rest of World,Thailand"	NA	40	"No"	""	""	""	""	""	"GAMS"	""	"No"
314	"Ratna R.S., Sharma S.K."	"(Ratna and Sharma, 2016)"	"Mega Trading Blocks: Is Time Ripe for ASEAN–SAARC FTA?"	2016	"South Asia Economic Journal"	"10.1177/1391561416649723"	"https://doi.org/10.1177/1391561416649723"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"SG"	"GTAP"	"2011"	"GTAP9"	140	8	"China,Europe,Japan,Rest of World,SAARC,SEA,South Korea,United States"	57	18	"No"	""	""	""	""	""	"unspecified"	""	"No"
315	"Tian X., Geng Y., Dai H., Fujita T., Wu R., Liu Z., Masui T., Yang X."	"(Tian et al., 2016)"	"The effects of household consumption pattern on regional development: A case study of Shanghai"	2016	"Energy"	"10.1016/j.energy.2016.02.140"	"https://doi.org/10.1016/j.energy.2016.02.140"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,emissions/CO2 related"	"SG"	""	"2007"	"Shanghai Statistical Yearbooks 2002, 2005, 2007"	NA	2	"China,Shanghai"	NA	42	"No"	""	""	""	""	""	"unspecified"	""	"No"
316	"Urban K., Jensen H.G., Brockmeier M."	"(Urban et al., 2016)"	"How decoupled is the Single Farm Payment and does it matter for international trade?"	2016	"Food Policy"	"10.1016/j.foodpol.2016.01.003"	"https://doi.org/10.1016/j.foodpol.2016.01.003"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"agriculture related"	"SG"	"GTAP"	"2007"	"GTAP8.2"	140	14	"Albania_Argentina_Armenia_Asia_Bahrein_Bolivia_Botswana_Brunei_Cameroon_Caribbean_Chile_Colombia_Costa Rica_Cote d'Ivoire_Dominican Republic_Ecuador_Egypt_El Salvador_Georgia_Ghana_Guatemala_Honduras_India_Indonesia_Israel_Jamaica_Jordan_Kenya_Kyrgyz Republic_Malaysia_Mauritius_Mexico_Mongolia_Morocco_Namibia_Nicaragua_Nigeria_Oman_Pakistan_Panama_Paraguay_Peru_Philippines_Puerto Rico_Qatar_Rest of Eastern Europe_Rest of LAM/LAC/SAM_Rest of North Africa_Rest of South African Customs Union_Saudi Arabia_Sri Lanka_Thailand_Trinidad and Tobago_Tunisia_Turkey_Ukraine_Uruguay_Venezuela_Vietnam_Zimbabwe,ANZ_Croatia_Hong Kong_Kuwait_Norway_Rest of EFTA_Singapore_South Korea_Switzerland_United Arab Emirates,Bangladesh,Brazil,Canada,China,Ethiopia,Europe,Japan,Rest of LDC,Rest of World,Russia/FSU,South Africa/SACU,United States"	57	22	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
317	"Vandyck T., Keramidas K., Saveyn B., Kitous A., Vrontisi Z."	"(Vandyck et al., 2016)"	"A global stocktake of the Paris pledges: Implications for energy systems and economy"	2016	"Global Environmental Change"	"10.1016/j.gloenvcha.2016.08.006"	"https://doi.org/10.1016/j.gloenvcha.2016.08.006"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,RCP scenario"	"RDPG"	"JRC-GEM-E3"	"2030"	"GTAP8, ILO employment, IEA energy"	129	25	"Argentina,Australia,Brazil,Canada,China,Europe,India,Indonesia,Iran,Japan,LAM/LAC/SAM_Rest of LAM/LAC/SAM,Mexico,New Zealand,North Africa,Oceania_Rest of Asia,Rest of Europe,Rest of Middle East,Russia/FSU,Russia/FSU,Saudi Arabia,SEA,South Africa/SACU,South Korea,sub-Saharan Africa,United States"	NA	16	"Yes"	"partial equilibrium"	"JRC-POLES"	"energy"	"loose"	"Coupled model output used in CGE/PE input"	"unspecified"	""	"No"
318	"Vukšić G., Holzner M."	"(Vukšić and Holzner, 2016)"	"Trade and fiscal imbalances in Southeastern Europe: Can fiscal devaluation help?"	2016	"Economic Systems"	"10.1016/j.ecosys.2016.01.004"	"https://doi.org/10.1016/j.ecosys.2016.01.004"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"tax related"	"SP"	"GSIM"	"2013"	"2012 UNCTAD database, World Bank WDI"	NA	9	"Albania,Bosnia and Herzegovina,Croatia,Europe,Kosovo,Macedonia,Montenegro,Rest of World,Serbia"	NA	1	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
319	"Withey P., Lantz V.A., Ochuodho T.O."	"(Withey et al., 2016)"	"Economic costs and impacts of climate-induced sea-level rise and storm surge in Canadian coastal provinces: a CGE approach"	2016	"Applied Economics"	"10.1080/00036846.2015.1073843"	"https://doi.org/10.1080/00036846.2015.1073843"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"protectionism,SRES,SRES"	"RDG"	""	"2055"	"Statistics Canada"	NA	7	"British Columbia,Labrador_Newfoundland,New Brunswick,Northwest Territories,Nova Scotia,Prince Edward Island,Quebec"	NA	21	"No"	""	""	""	""	""	"GAMS"	"CONOPT3"	"No"
320	"Wu R., Dai H., Geng Y., Xie Y., Masui T., Tian X."	"(Wu et al., 2016)"	"Achieving China's INDC through carbon cap-and-trade: Insights from Shanghai"	2016	"Applied Energy"	"10.1016/j.apenergy.2016.06.011"	"https://doi.org/10.1016/j.apenergy.2016.06.011"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,emissions/CO2 related"	"SG"	""	"2030"	"National Bureau of Statistics of China 2007"	NA	2	"China,Shanghai"	NA	42	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
321	"Yao Y.-F., Liang Q.-M."	"(Yao and Liang, 2016)"	"Approaches to carbon allowance allocation in China: a computable general equilibrium analysis"	2016	"Natural Hazards"	"10.1007/s11069-016-2352-7"	"https://doi.org/10.1007/s11069-016-2352-7"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"SG"	"CEEPA"	"2007"	"China 2007 SAM"	NA	2	"China,Rest of World"	NA	35	"No"	""	""	""	""	""	"GAMS"	""	"No"
322	"Zhang Q., Sun Z., Wu F., Deng X."	"(Zhang et al., 2016)"	"Understanding rural restructuring in China: The impact of changes in labor and capital productivity on domestic agricultural production and trade"	2016	"Journal of Rural Studies"	"10.1016/j.jrurstud.2016.05.001"	"https://doi.org/10.1016/j.jrurstud.2016.05.001"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"capital related,technological change"	"SG"	"TERM"	"2012"	"Statistical Yearbook Data 2007"	NA	32	"Anhui,Beijing,China,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang"	135	42	"No"	""	""	""	""	""	"GEMPack"	""	"No"
323	"Allevi E., Oggioni G., Riccardi R., Rocco M."	"(Allevi et al., 2017)"	"Evaluating the carbon leakage effect on cement sector under different climate policies"	2017	"Journal of Cleaner Production"	"10.1016/j.jclepro.2015.12.072"	"https://doi.org/10.1016/j.jclepro.2015.12.072"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"border adjustment,regulations"	"SP"	""	"2010"	"Eurostate, WBCSD"	NA	4	"China_India,Egypt_Turkey,France_Germany_Spain,Italy"	NA	1	"No"	""	""	""	""	""	"GAMS"	"PATH"	"No"
324	"Araújo S., Flaig D."	"(Araújo and Flaig, 2017)"	"Trade restrictions in Brazil: Who pays the price?"	2017	"Journal of Economic Integration"	"10.11130/jei.2017.32.2.283"	"https://doi.org/10.11130/jei.2017.32.2.283"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"export related,import related,liberalization"	"SG"	"METRO"	"2007"	"METRO (GTAP8-based)"	56	8	"Brazil,Emerging South East Asia,LAM/LAC/SAM,Non-OECD East Asia,North America,OECD Asia,OECD EU,Rest of World"	57	35	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
325	"Arita S., Beckman J., Mitchell L."	"(Arita et al., 2017)"	"Reducing transatlantic barriers on U.S.-EU agri-food trade: What are the possible gains?"	2017	"Food Policy"	"10.1016/j.foodpol.2016.12.006"	"https://doi.org/10.1016/j.foodpol.2016.12.006"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"import related,non-tariff barrier"	"SG"	"GTAP-AEZ"	"2011"	"GTAP9"	140	8	"Brazil,Canada,China,Europe,India,Mexico,Rest of World,United States"	57	27	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
326	"Beckman J., Arita S."	"(Beckman and Arita, 2017)"	"Modeling the interplay between sanitary and phytosanitary measures and tariff-rate quotas under partial trade liberalization"	2017	"American Journal of Agricultural Economics"	"10.1093/ajae/aaw056"	"https://doi.org/10.1093/ajae/aaw056"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related,liberalization,non-tariff barrier"	"SG"	"GTAP"	"2011"	"TARIC,GTAP9"	NA	3	"Europe,Rest of World,United States"	NA	3	"No"	""	""	""	""	""	"GEMPack"	""	"No"
327	"Boysen O., Matthews A."	"(Boysen and Matthews, 2017)"	"Will Economic Partnership Agreements Increase Poverty? The Case of Uganda"	2017	"Review of Development Economics"	"10.1111/rode.12272"	"https://doi.org/10.1111/rode.12272"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"government related,import related,labor related,tax related"	"SG"	"CGE-MS"	"2007"	"2007 Uganda SAM, Trade Analysis Information System"	NA	3	"East African Community,Europe,Rest of World"	NA	50	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
328	"Chen S., Li D."	"(Chen and Li, 2017)"	"China-United Kingdom free trade area: Likely impact on the economy and on specific industry sectors in both countries"	2017	"Journal of Chinese Economic and Foreign Trade Studies"	"10.1108/JCEFTS-11-2016-0032"	"https://doi.org/10.1108/JCEFTS-11-2016-0032"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related,import related"	"SG"	"GTAP"	"2011"	"GTAP8.1"	134	10	"Australia,Cambodia_Indonesia_Laos_Malaysia_Philippines_Singapore_Thailand_Vietnam,China,Europe,Germany,Japan_South Korea,Rest of World,Russia/FSU,United Kingdom,United States"	57	10	"No"	""	""	""	""	""	"GEMPack"	""	"No"
329	"Chen W., Guo Q."	"(Chen and Guo, 2017)"	"Assessing the effect of carbon tariffs on international trade and emission reduction of China's industrial products under the background of global climate governance"	2017	"Sustainability (Switzerland)"	"10.3390/su9061028"	"https://doi.org/10.3390/su9061028"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"SG"	"GTAP"	"2007"	"GTAP8"	129	8	"Africa,Austria_Belgium_Bulgaria_Cyprus_Czech Republic_Denmark_Estonia_Finland_France_Germany_Greece_Hungary_Ireland_Italy_Latvia_Lithuania_Luxembourg_Netherlands_Poland_Portugal_Romania_Slovakia_Slovenia_Spain_Sweden_United Kingdom,Brazil_India_Russia/FSU,China,Indonesia_Malaysia_Philippines_Singapore_Thailand_Vietnam,Japan,Rest of World,United States"	57	7	"No"	""	""	""	""	""	"GEMPack"	""	"No"
330	"Choi Y., Liu Y., Lee H."	"(Choi et al., 2017)"	"The economy impacts of Korean ETS with an emphasis on sectoral coverage based on a CGE approach"	2017	"Energy Policy"	"10.1016/j.enpol.2017.06.039"	"https://doi.org/10.1016/j.enpol.2017.06.039"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"SG"	"SKGE"	"2011"	"2011 Korea IO table, GTAP9"	NA	1	"South Korea"	NA	28	"No"	""	""	""	""	""	"unspecified"	""	"No"
331	"Cui L.-B., Song M.-L."	"(Cui and Song, 2017)"	"Designing and Forecasting the Differentiated Carbon Tax Scheme Based on the Principle of Ability to Pay"	2017	"Asia-Pacific Journal of Operational Research"	"10.1142/S0217595917400048"	"https://doi.org/10.1142/S0217595917400048"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"emissions/CO2 related"	"SG"	"GTAP-E"	"2007"	"GTAP8"	129	10	"Brazil,China,Europe,India,Japan,OECD,Rest of World,Russia/FSU,South Africa/SACU,United States"	57	21	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
332	"Danziger E."	"(Danziger 2017)"	"Skill acquisition and the dynamics of trade-induced inequality"	2017	"Journal of International Economics"	"10.1016/j.jinteco.2017.03.006"	"https://doi.org/10.1016/j.jinteco.2017.03.006"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"RDG"	""	"2067"	"2007 US data"	NA	2	"Canada,United States"	NA	20	"No"	""	""	""	""	""	"unspecified"	""	"No"
333	"Debnath D., Whistance J., Thompson W."	"(Debnath et al., 2017)"	"The causes of two-way U.S.–Brazil ethanol trade and the consequences for greenhouse gas emission"	2017	"Energy"	"10.1016/j.energy.2017.11.048"	"https://doi.org/10.1016/j.energy.2017.11.048"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"regulations"	"SP"	""	"2017-2025 (average)"	NA	NA	2	"Brazil,United States"	NA	4	"No"	""	""	""	""	""	"unspecified"	""	"ambiguous"
334	"Feng S., Patton M., Davis J."	"(Feng et al., 2017)"	"Market impact of foot-and-mouth disease control strategies: A UK case study"	2017	"Frontiers in Veterinary Science"	"10.3389/fvets.2017.00129"	"https://doi.org/10.3389/fvets.2017.00129"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"FMD control strategies,regulations"	"SP"	"UK-FAPRI"	"2025"	NA	NA	5	"England,Europe,Northern Ireland,Scotland,Wales"	NA	3	"Yes"	"epidemiological model"	"EXODIS"	"epidemiology"	"loose"	"Coupled model output used in CGE/PE input"	"unspecified"	""	"Yes"
335	"Fontagné L., Fouré J., Keck A."	"(Fontagné et al., 2017)"	"Simulating World Trade in the Decades Ahead: Driving Forces and Policy Implications"	2017	"World Economy"	"10.1111/twec.12479"	"https://doi.org/10.1111/twec.12479"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"capital related,capital related,education,import related,population change,resource related,technological change"	"RDG"	"MIRAGE"	"2035"	"GTAP7"	150	12	"Brazil,China,Europe,India,Japan,LAM/LAC/SAM,MENA,Rest of Asia,Rest of World,Russia/FSU,sub-Saharan Africa,United States"	57	4	"Yes"	"macroeconomic growth model"	"MaGE"	"economy"	"loose"	"Coupled model output used in CGE/PE input"	"unspecified"	""	"No"
336	"Guei K.M.A., Mugano G., Le Roux P."	"(Guei et al., 2017)"	"Revenue, welfare and trade effects of European union free trade agreement on South Africa"	2017	"South African Journal of Economic and Management Sciences"	"10.4102/sajems.v20i1.1655"	"https://doi.org/10.4102/sajems.v20i1.1655"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"SP"	"WITS-SMART"	"2012"	"TRAINS, IDB-WTO, CTS-WTO"	NA	2	"Europe,South Africa/SACU"	NA	2	"No"	""	""	""	""	""	"unspecified"	""	"ambiguous"
337	"Guimbard H., Le Goff M."	"(Guimbard and Le Goff, 2017)"	"Mega-deals: What consequences for SSA?"	2017	"Journal of African Economies"	"10.1093/jae/ejw029"	"https://doi.org/10.1093/jae/ejw029"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"RDG"	"MIRAGE"	"2030"	"GTAP9"	140	38	"Benin,Botswana_Namibia_Rest of South African Custom Union_South Africa,Burkina Faso,Burundi_Comoros_Djibouti_Eritrea_Somalia_Sudan_Zambia_Zimbabwe,Cameroon,Cape Verde_Guinea-Bissau_Liberia_Mali_Mauritania_Niger_Sierra Leone_The Gambia,Central African Republic_Chad_Congo - Brazzaville_Equatorial Guinea_Gabon_Sao Tome and Principe,China,Cote d'Ivoire,EFTA,Ethiopia,Europe,Ghana,Guinea,India,Japan,Kenya,LAM/LAC/SAM,Madagascar,Malawi,Mauritius,Mercosur,Middle East,Mozambique,Nigeria,North Africa,North America,Oceania,other European,Rest of Asian Developing,Rwanda,SEA,Senegal,South Central Africa,South Korea_Taiwan,Tanzania,Togo,Uganda"	57	23	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
338	"Haoqi Q., Libo W., Weiqi T."	"(Haoqi et al., 2017)"	"“Lock-in” effect of emission standard and its impact on the choice of market based instruments"	2017	"Energy Economics"	"10.1016/j.eneco.2017.01.005"	"https://doi.org/10.1016/j.eneco.2017.01.005"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"regulations"	"RDG"	""	"2020"	"Chinese statistical databases"	NA	30	"Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Yunnan,Zhejiang"	NA	42	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
339	"Huan-Niemi E., Niemi J., Rikkonen P., Wuori O., Niemi J."	"(Huan-Niemi et al., 2017)"	"Anticipating the Future of Finnish Agrifood Sector by Using Alternative Research Methods"	2017	"Journal of Food Products Marketing"	"10.1080/10454446.2014.1000443"	"https://doi.org/10.1080/10454446.2014.1000443"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"emissions/CO2 related,growth change,liberalization"	"RDG"	"GTAP-Dyn"	"2030"	"GTAP7"	113	11	"Europe,Finland,unknown(9)"	57	20	"No"	""	""	""	""	""	"unspecified"	""	"No"
340	"Hübler M., Pothen F."	"(Hübler and Pothen, 2017)"	"Trade-induced productivity gains reduce incentives to impose strategic tariffs"	2017	"Economic Modelling"	"10.1016/j.econmod.2016.11.006"	"https://doi.org/10.1016/j.econmod.2016.11.006"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related"	"SG"	"WIOD-CGE"	"2009"	"WIOD"	NA	41	"Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Cypress,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,India,Indonesia,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Malta,Mexico,Netherlands,Poland,Portugal,Rest of World,Romania,Russia/FSU,Slovakia,Slovenia,South Korea,Spain,Sweden,Taiwan,Turkey,United Kingdom,United States"	NA	35	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
341	"Jafari Y., Othman J., Witzke P., Jusoh S."	"(Jafari et al., 2017)"	"Risks and opportunities from key importers pushing for sustainability: the case of Indonesian palm oil"	2017	"Agricultural and Food Economics"	"10.1186/s40100-017-0083-z"	"https://doi.org/10.1186/s40100-017-0083-z"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"demand change"	"SP"	""	"2009"	"FAPRI elasticities database"	NA	3	"Europe,Indonesia,Rest of World"	NA	1	"No"	""	""	""	""	""	"unspecified"	""	"No"
342	"Khorana S., Narayanan B.G."	"(Khorana and Narayanan, 2017)"	"Modelling Effects of Tariff Liberalisation on India’s Key Export Sectors: Analysis of the EU–India Free Trade Agreement"	2017	"Margin"	"10.1177/0973801016676016"	"https://doi.org/10.1177/0973801016676016"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related,liberalization"	"SG"	"GTAP"	"2004"	"GTAP7"	113	11	"China,East Asia,Europe,India,LAM/LAC/SAM,MENA,North America,Rest of World,SEA,South Asia,sub-Saharan Africa"	57	11	"No"	""	""	""	""	""	"unspecified"	""	"No"
343	"Ko J.-H., Ito S."	"(Ko and Ito, 2017)"	"Simulation for Japan-Korea FTA and Its economic impacts on agriculture: A CGE approach"	2017	"Journal of the Faculty of Agriculture, Kyushu University"	""	"https://doi.org/"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related"	"SG"	"GTAP"	"2011"	"GTAP9"	140	8	"ANZ,China,Europe,Japan,Rest of World,SEA,South Korea,United States"	57	20	"No"	""	""	""	""	""	"unspecified"	""	"No"
344	"Kutlina-Dimitrova Z."	"(Kutlina 2017)"	"The economic impact of the Russian import ban: a CGE analysis"	2017	"International Economics and Economic Policy"	"10.1007/s10368-017-0376-4"	"https://doi.org/10.1007/s10368-017-0376-4"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related"	"SG"	"GTAP"	"2011"	"GTAP9"	140	7	"Australia,Canada,Europe,Norway,Rest of World,Russia/FSU,United States"	57	9	"No"	""	""	""	""	""	"unspecified"	""	"No"
345	"Lakatos C., Maliszewska M., Osorio-Rodarte I., Go D."	"(Lakatos et al., 2017)"	"China’s Slowdown and Rebalancing: Impacts on Sub-Saharan Africa"	2017	"Journal of Economic Integration"	"10.11130/jei.2017.32.4.759"	"https://doi.org/10.11130/jei.2017.32.4.759"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"growth related"	"RDG"	"LINKAGE"	"2030"	"GTAP9"	140	24	"Botswana,Burkina Faso,Cameroon,China,Cote d'Ivoire,Ethiopia,Europe,Ghana,India,Kenya,Madagascar,Mozambique,Namibia,Nigeria,Rest of high-income countries,Rest of SSA,Rest of World,Rwanda,Senegal,South Africa/SACU,Tanzania,Uganda,United States,Zambia"	57	5	"No"	""	""	""	""	""	"unspecified"	""	"No"
346	"Leimbach M., Schultes A., Baumstark L., Giannousakis A., Luderer G."	"(Leimbach et al., 2017)"	"Solution algorithms for regional interactions in large-scale integrated assessment models of climate change"	2017	"Annals of Operations Research"	"10.1007/s10479-016-2340-z"	"https://doi.org/10.1007/s10479-016-2340-z"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"IDG"	"REMIND"	"2100"	"IEA, ENERDATA"	NA	11	"China,Europe,India,Japan,LAM/LAC/SAM,MENA,other Asia,Rest of World,Russia/FSU,sub-Saharan Africa,United States"	NA	7	"Yes"	"reduced complexity general circulation model"	"MAGICC"	"climate"	"loose"	"Coupled model uses CGE/PE output"	"GAMS"	"CONOPT3/NLP"	"No"
347	"Li A., Peng D., Wang D., Yao X."	"(Li et al., 2017)"	"Comparing regional effects of climate policies to promote non-fossil fuels in China"	2017	"Energy"	"10.1016/j.energy.2017.11.108"	"https://doi.org/10.1016/j.energy.2017.11.108"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,subsidy related"	"SG"	""	"2014"	"BP. Statistical Review of World Energy"	NA	11	"Australia,Brazil,Central China,China,Eastern China,Europe,India,Japan,Rest of World,United States,Western China"	NA	7	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
348	"Li C."	"(Li 2017)"	"How Would Bilateral Trade Retaliation Affect China?"	2017	"Computational Economics"	"10.1007/s10614-016-9571-6"	"https://doi.org/10.1007/s10614-016-9571-6"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"other trade related"	"SG"	""	"2010"	"China Data Online, US BEA, World Bank, SIGCI Plus"	NA	6	"China,Europe,OECD,other Asia,Rest of World,United States"	NA	2	"No"	""	""	""	""	""	"unspecified"	""	"No"
349	"Li C., Whalley J."	"(Li and Whalley, 2017)"	"How close is Asia already to being a trade bloc?"	2017	"Journal of Comparative Economics"	"10.1016/j.jce.2016.08.001"	"https://doi.org/10.1016/j.jce.2016.08.001"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"SG"	""	"2011"	"World Bank WDI"	NA	15	"ANZ,Brunei_Malaysia_Singapore_Vietnam,Cambodia_Indonesia_Laos_Myanmar_Philippines_Thailand,Canada,Chile_Peru,China,Europe,India,Japan,Mexico,other developed,other developing,Rest of World,South Korea,United States"	NA	2	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
350	"Li C., Whalley J."	"(Li and Whalley, 2017)"	"Indirect tax initiatives and global rebalancing"	2017	"CESifo Economic Studies"	"10.1093/cesifo/ifw013"	"https://doi.org/10.1093/cesifo/ifw013"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"tax related"	"SG"	""	"2010"	"country-specific databases"	NA	4	"China,Germany,Rest of World,United States"	NA	2	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
